user,image_a,filter_a,intensity,response,resptime
yes,Girl2_Juno_25.jpg,Juno,25,3,44.672803
yes,Girl2_Juno_50.jpg,Juno,50,4,2.021021
yes,Ocean_Clarendon_25.jpg,Clarendon,25,1,3.976144
yes,Girl1_OG.jpg,OG,0,1,0.885254
yes,Lake_Lark_100.jpg,Lark,100,5,1.751298
yes,Ocean_Lark_50.jpg,Lark,50,4,1.56541
yes,Girl1_Lark_50.jpg,Lark,50,3,1.118261
yes,Mountains_Juno_100.jpg,Juno,100,3,1.456438
yes,Mountains_Lark_100.jpg,Lark,100,3,0.887534
yes,Girl2_Lark_25.jpg,Lark,25,1,0.716948
yes,Girl1_Lark_75.jpg,Lark,75,3,0.836217
yes,Girl2_Lark_75.jpg,Lark,75,1,0.614849
yes,Temple_Clarendon_25.jpg,Clarendon,25,3,2.639264
yes,Mountains_Juno_75.jpg,Juno,75,2,1.525203
yes,Mountains_Lark_25.jpg,Lark,25,2,1.168357
yes,Temple_Clarendon_75.jpg,Clarendon,75,5,3.261744
yes,Girl2_Juno_75.jpg,Juno,75,4,1.568004
yes,Temple_Clarendon_50.jpg,Clarendon,50,5,1.257193
yes,Ocean_Juno_25.jpg,Juno,25,4,3.032172
yes,Lake_Clarendon_75.jpg,Clarendon,75,5,1.175027
yes,Temple_Juno_25.jpg,Juno,25,2,1.417853
yes,Temple_Juno_100.jpg,Juno,100,3,1.332062
yes,Lake_Clarendon_50.jpg,Clarendon,50,4,1.45376
yes,Mountains_Lark_75.jpg,Lark,75,1,1.469826
yes,Girl1_Juno_75.jpg,Juno,75,2,1.072637
yes,Mountains_Clarendon_25.jpg,Clarendon,25,4,1.214225
yes,Mountains_Clarendon_50.jpg,Clarendon,50,4,1.841464
yes,Ocean_Juno_75.jpg,Juno,75,4,1.88198
yes,Girl2_Clarendon_100.jpg,Clarendon,100,1,0.976818
yes,Girl2_Lark_50.jpg,Lark,50,5,0.614235
yes,Mountains_Clarendon_75.jpg,Clarendon,75,5,0.782357
yes,Temple_Juno_50.jpg,Juno,50,3,7.41863
yes,Temple_OG.jpg,OG,0,3,0.5863
yes,Mountains_Lark_50.jpg,Lark,50,2,1.193806
yes,Lake_Clarendon_25.jpg,Clarendon,25,2,1.981825
yes,Girl1_Lark_100.jpg,Lark,100,3,1.23144
yes,Lake_Lark_25.jpg,Lark,25,2,0.877097
yes,Ocean_Clarendon_50.jpg,Clarendon,50,1,1.518849
yes,Girl2_Clarendon_25.jpg,Clarendon,25,2,1.020262
yes,Ocean_Lark_75.jpg,Lark,75,3,0.767717
yes,Mountains_Juno_50.jpg,Juno,50,2,0.860483
yes,Ocean_Lark_100.jpg,Lark,100,3,1.023118
yes,Girl1_Clarendon_50.jpg,Clarendon,50,3,2.875796
yes,Girl1_Lark_25.jpg,Lark,25,3,0.661145
yes,Ocean_Clarendon_100.jpg,Clarendon,100,2,1.050291
yes,Lake_Juno_100.jpg,Juno,100,3,3.264764
yes,Temple_Juno_75.jpg,Juno,75,1,1.648688
yes,Lake_Clarendon_100.jpg,Clarendon,100,2,0.836333
yes,Temple_Lark_25.jpg,Lark,25,1,1.861093
yes,Mountains_Juno_25.jpg,Juno,25,1,2.239666
yes,Girl1_Clarendon_100.jpg,Clarendon,100,2,0.569513
yes,Temple_Lark_50.jpg,Lark,50,3,0.805492
yes,Lake_Juno_75.jpg,Juno,75,4,0.745956
yes,Ocean_Lark_25.jpg,Lark,25,4,0.802008
yes,Lake_Juno_25.jpg,Juno,25,3,0.948235
yes,Temple_Lark_75.jpg,Lark,75,2,1.104332
